,city_name,country,date,lat,long,max_temp,humidity,cloudiness,wind_speed
311,Omboué,GA,1590113095,-1.57,9.26,75.65,87,11,2.77
312,Bonao,DO,1590113096,18.94,-70.41,61.0,1,100,0.87
313,Bang Yai,TH,1590113097,13.84,100.36,97.0,62,20,9.17
314,Iqaluit,CA,1590112961,63.75,-68.51,24.8,62,75,13.87
315,Oodweyne,SO,1590113099,9.41,45.06,73.54,67,1,13.29
316,Rincon,US,1590112959,32.3,-81.24,77.0,83,90,5.82
317,Shuangyang,CN,1590113101,43.52,125.67,55.4,82,75,8.95
318,Morro Bay,US,1590112952,35.37,-120.85,73.0,86,13,8.99
319,George Town,MY,1590113104,5.41,100.34,87.8,89,20,4.7
320,Maragogi,BR,1590113105,-9.01,-35.22,78.1,86,90,9.24
321,Price,US,1590113107,39.6,-110.81,68.0,19,1,6.93
322,Aksu,CN,1590113108,41.12,80.26,72.37,20,99,2.26
323,Isangel,VU,1590113109,-19.55,169.27,77.0,65,75,5.82
324,Manggar,ID,1590113110,-2.88,108.27,84.81,74,96,8.93
325,Mason City,US,1590112912,43.15,-93.2,57.99,87,90,8.05
326,Oranjemund,NA,1590113114,-28.55,16.43,58.42,92,5,9.26
327,Torbay,CA,1590113115,47.67,-52.73,50.0,66,75,19.46
328,Amurzet,RU,1590113116,47.7,131.1,66.51,43,0,8.16
329,Coyhaique,CL,1590113117,-45.58,-72.07,39.2,86,97,5.82
330,Pacific Grove,US,1590113119,36.62,-121.92,61.0,89,0,5.01
331,Dhārchula,IN,1590113120,29.85,80.53,77.34,29,0,1.52
332,Tashla,RU,1590113121,51.77,52.74,53.38,88,17,3.76
333,Yulara,AU,1590113122,-25.24,130.99,57.2,41,0,17.22
334,Ngunguru,NZ,1590113123,-35.62,174.5,64.99,60,0,5.01
335,Charagua,BO,1590113124,-19.8,-63.22,68.0,94,80,6.15
336,Kalmunai,LK,1590113125,7.42,81.82,83.03,79,88,0.89
337,Oranjestad,AW,1590113043,12.52,-70.03,82.4,78,20,23.04
338,Samāstipur,IN,1590113128,25.85,85.78,80.87,68,97,9.91
339,Ketchikan,US,1590113129,55.34,-131.65,57.2,58,90,6.93
340,Saint Lawrence,MT,1590113130,36.06,14.2,66.2,88,0,5.82
341,Buin,CL,1590113131,-33.73,-70.75,50.0,81,0,3.36
342,Havøysund,NO,1590113132,71.0,24.66,35.6,74,0,9.17
343,Moindou,NC,1590113133,-21.69,165.68,78.8,47,90,8.05
344,Staunton,US,1590113134,38.15,-79.07,55.99,93,90,4.7
345,Jobabo,CU,1590113135,20.97,-76.3,80.6,78,75,6.93
346,Matagami,CA,1590113136,49.75,-77.63,59.0,58,75,10.29
347,Río Gallegos,AR,1590113066,-51.62,-69.22,41.0,75,100,5.82
348,Olafsvik,IS,1590113138,64.89,-23.71,46.26,87,48,12.19
349,Sakakah,SA,1590113141,29.97,40.21,84.2,14,0,6.93
350,Vargashi,RU,1590113143,55.36,65.85,50.76,86,16,12.93
351,Scarborough,GB,1590113144,54.28,-0.4,57.0,76,100,1.99
352,Ponta Delgada,PT,1590113065,37.73,-25.67,60.8,77,75,3.51
353,Gushikawa,JP,1590113146,26.35,127.87,71.6,100,90,18.34
354,Emerald,AU,1590113147,-23.53,148.17,59.0,58,75,14.99
355,Aklavik,CA,1590113148,68.22,-135.01,51.8,29,5,5.82
356,Gwadar,PK,1590113149,25.12,62.33,83.53,75,0,8.77
357,Plaster Rock,CA,1590113151,46.91,-67.39,71.6,26,1,10.29
358,Darhan,MN,1590113152,49.49,105.92,54.5,54,100,14.14
359,Ilo,PE,1590113153,-17.64,-71.34,63.68,80,95,8.55
360,Belyy Yar,RU,1590113154,53.6,91.39,64.4,45,0,2.24
361,Bethel,US,1590113155,41.37,-73.41,57.2,67,1,10.29
362,Merrill,US,1590113156,45.18,-89.68,69.8,60,75,6.93
363,Kibala,TD,1590113157,9.11,18.35,73.02,86,100,5.17
364,Huanta,PE,1590113158,-12.93,-74.25,55.02,64,19,3.06
365,Ballina,AU,1590113159,-28.87,153.57,59.0,54,96,17.22
366,Saldanha,ZA,1590113160,-33.01,17.94,60.12,81,0,6.91
367,Tondano,ID,1590113161,1.3,124.91,87.8,66,20,3.36
368,Dumas,US,1590113162,35.87,-101.97,81.0,10,1,10.29
369,Strezhevoy,RU,1590113163,60.73,77.59,57.2,76,98,11.18
370,Port Augusta,AU,1590113164,-32.5,137.77,57.2,67,57,10.29
371,Gisborne,NZ,1590113022,-38.65,178.0,59.0,55,0,5.99
372,Pangnirtung,CA,1590113166,66.15,-65.71,16.48,89,89,2.91
